order_id,product_name,category,customer_id,customer_segment,order_value,quantity,sales_amount,created_at,status
1001,Laptop Pro X1,Electronics,C101,Premium,1299.99,1,1299.99,2024-01-15,completed
1002,Wireless Mouse,Electronics,C102,Standard,29.99,2,59.98,2024-01-16,completed
1003,Office Chair Deluxe,Furniture,C103,Premium,399.99,1,399.99,2024-01-17,completed
1004,Coffee Maker,Appliances,C101,Premium,89.99,1,89.99,2024-01-18,completed
1005,Desk Lamp LED,Furniture,C104,Standard,45.50,1,45.50,2024-01-19,completed
1006,Notebook Set,Stationery,C105,Budget,15.99,3,47.97,2024-01-20,completed
1007,Mechanical Keyboard,Electronics,C102,Standard,149.99,1,149.99,2024-01-21,completed
1008,Standing Desk,Furniture,C106,Premium,599.99,1,599.99,2024-01-22,completed
1009,Water Bottle,Accessories,C107,Budget,12.99,2,25.98,2024-01-23,completed
1010,Monitor 27inch,Electronics,C108,Premium,399.99,1,399.99,2024-01-24,completed
1011,Ergonomic Mouse Pad,Accessories,C109,Standard,19.99,1,19.99,2024-01-25,completed
1012,Printer All-in-One,Electronics,C110,Standard,249.99,1,249.99,2024-01-26,completed
1013,Bookshelf 5-Tier,Furniture,C103,Premium,179.99,1,179.99,2024-01-27,completed
1014,USB-C Hub,Electronics,C111,Standard,49.99,1,49.99,2024-01-28,completed
1015,Coffee Beans Premium,Food,C112,Premium,24.99,2,49.98,2024-01-29,completed
1016,Desk Organizer,Stationery,C113,Standard,22.50,1,22.50,2024-01-30,completed
1017,Laptop Stand,Accessories,C114,Standard,39.99,1,39.99,2024-02-01,completed
1018,Webcam HD,Electronics,C115,Standard,79.99,1,79.99,2024-02-02,completed
1019,Headphones Wireless,Electronics,C116,Premium,199.99,1,199.99,2024-02-03,completed
1020,Desk Mat XXL,Accessories,C117,Standard,34.99,1,34.99,2024-02-04,completed
1021,Storage Cabinet,Furniture,C118,Premium,299.99,1,299.99,2024-02-05,completed
1022,Tablet 10inch,Electronics,C119,Premium,449.99,1,449.99,2024-02-06,completed
1023,Smart Speaker,Electronics,C120,Standard,99.99,1,99.99,2024-02-07,completed
1024,Pen Set Luxury,Stationery,C121,Premium,45.00,1,45.00,2024-02-08,completed
1025,Air Purifier,Appliances,C122,Premium,179.99,1,179.99,2024-02-09,completed
1026,Table Lamp Modern,Furniture,C123,Standard,65.99,1,65.99,2024-02-10,completed
1027,Keyboard Wrist Rest,Accessories,C124,Budget,14.99,2,29.98,2024-02-11,completed
1028,External SSD 1TB,Electronics,C125,Premium,129.99,1,129.99,2024-02-12,completed
1029,Whiteboard Small,Stationery,C126,Standard,35.50,1,35.50,2024-02-13,completed
1030,Laptop Bag,Accessories,C127,Standard,59.99,1,59.99,2024-02-14,completed
1031,Monitor Arm,Furniture,C128,Premium,119.99,1,119.99,2024-02-15,completed
1032,Cable Management Kit,Accessories,C129,Budget,18.99,1,18.99,2024-02-16,completed
1033,Desk Treadmill,Furniture,C130,Premium,899.99,1,899.99,2024-02-17,completed
1034,Smart Watch,Electronics,C131,Premium,299.99,1,299.99,2024-02-18,completed
1035,Plant Pot Set,Accessories,C132,Budget,25.99,3,77.97,2024-02-19,completed
1036,LED Strip Lights,Electronics,C133,Standard,29.99,2,59.98,2024-02-20,completed
1037,File Cabinet,Furniture,C134,Standard,149.99,1,149.99,2024-02-21,completed
1038,Calculator Scientific,Stationery,C135,Standard,19.99,1,19.99,2024-02-22,completed
1039,Bluetooth Speaker,Electronics,C136,Standard,69.99,1,69.99,2024-02-23,completed
1040,Task Chair Basic,Furniture,C137,Budget,129.99,1,129.99,2024-02-24,completed
1041,Power Strip Surge,Electronics,C138,Standard,24.99,2,49.98,2024-02-25,completed
1042,Desk Fan,Appliances,C139,Standard,39.99,1,39.99,2024-02-26,completed
1043,Noise Cancelling Pods,Electronics,C140,Premium,189.99,1,189.99,2024-02-27,completed
1044,Monitor Privacy Screen,Accessories,C141,Standard,44.99,1,44.99,2024-02-28,completed
1045,Laptop Cooling Pad,Accessories,C142,Standard,29.99,1,29.99,2024-03-01,completed
1046,Planner 2024,Stationery,C143,Budget,12.99,2,25.98,2024-03-02,completed
1047,Desk Clock Digital,Accessories,C144,Standard,34.99,1,34.99,2024-03-03,completed
1048,Reading Light,Furniture,C145,Standard,28.50,1,28.50,2024-03-04,completed
1049,Shredder Paper,Electronics,C146,Standard,89.99,1,89.99,2024-03-05,completed
1050,Cup Warmer USB,Appliances,C147,Budget,15.99,1,15.99,2024-03-06,completed
